Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,509,509,0,0,0,0,0,0,0.0,0.0,0,0
6,0.34750914573669434,2,2,108,108,54,54,54.0,0.0,54,54,54.0,0.0,621.5663750146649,11.5104884261975,0.34750914573669434,0.0,0.34750914573669434,0.34750914573669434,0.34750914573669434,0.34750914573669434,0.0,0.34750914573669434,0.34750914573669434,0.34750914573669434,0.34750914573669434,0.0,0.34750914573669434,0.34750914573669434,0,0,0,0,160,0,5.75524421309875,5.75524421309875,0,0,0,0,0,1,0,0,0,2,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1020,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,16386,16386,0,0,0,0,0,0,0.0,0.0,0,0
17,53.92313313484192,42,42,3100,3100,127,64,73.80952380952381,17.479563707149282,127,64,73.80952380952381,17.479563707149282,114.97848213856714,1.5577729838128453,1.3151983691424858,1.9957233111010153,6.421571969985962,0.0,53.92313313484192,1.3151983691424858,1.9957233111010153,6.421571969985962,0.0,53.92313313484192,1.3151983691424858,1.9957233111010153,6.421571969985962,0.0,0,0,0,0,336,0,0.7788864919064227,0.7788864919064227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.80952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,53.90003800392151,41,41,3191,3191,324,71,77.82926829268293,38.96646615784472,324,71,77.82926829268293,38.96646615784472,118.40436920537377,1.5213347343843073,1.3475009500980377,2.012160214655676,6.427037954330444,0.024766921997070312,53.90003800392151,1.3475009500980377,2.012160214655676,6.427037954330444,0.024766921997070312,53.90003800392151,1.3475009500980377,2.012160214655676,6.427037954330444,0.024766921997070312,0,0,0,0,328,0,0.7606673671921537,0.7606673671921537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.82926829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,1.8595900535583496,4,4,698,698,175,174,174.5,0.5,175,174,174.5,0.5,750.7030903551758,4.302023440430807,0.6198633511861166,0.5052614955054302,1.3311128616333008,0.2048511505126953,1.8595900535583496,0.6198633511861166,0.5052614955054302,1.3311128616333008,0.2048511505126953,1.8595900535583496,0.6198633511861166,0.5052614955054302,1.3311128616333008,0.2048511505126953,0,0,0,0,32,0,2.1510117202154033,2.1510117202154033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,0.26162195205688477,2,2,152,152,98,54,76.0,22.0,98,54,76.0,22.0,1161.982003459331,15.289236887622776,0.26162195205688477,0.0,0.26162195205688477,0.26162195205688477,0.26162195205688477,0.26162195205688477,0.0,0.26162195205688477,0.26162195205688477,0.26162195205688477,0.26162195205688477,0.0,0.26162195205688477,0.26162195205688477,1,1,0,0,160,0,7.644618443811388,7.644618443811388,0,0,0,0,0,0,0,0,1,2,0,0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,1021,1021,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,229,229,229,229,0.0,0.0,229,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,229.0,0,0,0,0,0,0,0,0,0,0,0,0,7752,7752,0,0,0,0,0,0,0.0,0.0,0,0
6,1.2702980041503906,13,13,6834,6834,1466,54,525.6923076923077,593.8200173602701,1466,54,525.6923076923077,593.8200173602701,10759.679976937006,20.467638235320614,0.10585816701253255,0.14809340737921062,0.3623378276824951,0.0,1.2702980041503906,0.10585816701253255,0.14809340737921062,0.3623378276824951,0.0,1.2702980041503906,0.10585816701253255,0.14809340737921062,0.3623378276824951,0.0,4,4,0,0,1088,0,10.233819117660307,10.233819117660307,0,0,0,0,0,0,1,0,4,12,0,0,0,0,525.6923076923077,0,0,0,0,0,0,0,0,0,0,0,0,3209215,3209215,0,0,0,0,0,0,0.0,0.0,0,0
