Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,16386,16386,0,0,0,0,0,0,0.0,0.0,0,0
17,55.23805809020996,39,39,3066,3066,344,71,78.61538461538461,43.0846604772721,344,71,78.61538461538461,43.0846604772721,111.01041948262834,1.412069915141065,1.4536331076371043,2.183868293651236,6.426833868026733,0.021554946899414062,55.23805809020996,1.4536331076371043,2.183868293651236,6.426833868026733,0.021554946899414062,55.23805809020996,1.4536331076371043,2.183868293651236,6.426833868026733,0.021554946899414062,0,0,0,0,312,0,0.7060349575705325,0.7060349575705325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,55.23110508918762,40,40,2912,2912,136,65,72.8,17.375557545011326,136,65,72.8,17.375557545011326,105.44782673812807,1.4484591584907702,1.4161821817740416,2.163252180374439,6.429680824279785,0.0,55.23110508918762,1.4161821817740416,2.163252180374439,6.429680824279785,0.0,55.23110508918762,1.4161821817740416,2.163252180374439,6.429680824279785,0.0,0,0,0,0,320,0,0.7242295792453851,0.7242295792453851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,1.9842610359191895,4,4,698,698,175,174,174.5,0.5,175,174,174.5,0.5,703.536467596521,4.031727608002986,0.6614203453063965,0.43352879365470465,1.2744359970092773,0.34598612785339355,1.9842610359191895,0.6614203453063965,0.43352879365470465,1.2744359970092773,0.34598612785339355,1.9842610359191895,0.6614203453063965,0.43352879365470465,1.2744359970092773,0.34598612785339355,0,0,0,0,32,0,2.015863804001493,2.015863804001493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,0,0,0,0,0,0,0.0,0.0,0,0
6,0.34905385971069336,2,2,108,108,54,54,54.0,0.0,54,54,54.0,0.0,618.8156755494051,11.459549547211207,0.34905385971069336,0.0,0.34905385971069336,0.34905385971069336,0.34905385971069336,0.34905385971069336,0.0,0.34905385971069336,0.34905385971069336,0.34905385971069336,0.34905385971069336,0.0,0.34905385971069336,0.34905385971069336,0,0,0,0,160,0,5.7297747736056035,5.7297747736056035,0,0,0,0,0,1,0,0,0,2,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1016,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,16386,16386,0,0,0,0,0,0,0.0,0.0,0,0
17,3.9370229244232178,39,39,12372,12372,1292,73,317.2307692307692,422.5770426821272,1292,73,317.2307692307692,422.5770426821272,6284.951973863614,19.81192426290664,0.10360586643218994,0.4457271164765984,2.7588071823120117,0.0001308917999267578,3.9370229244232178,0.10360586643218994,0.4457271164765984,2.7588071823120117,0.0001308917999267578,3.9370229244232178,0.10360586643218994,0.4457271164765984,2.7588071823120117,0.0001308917999267578,0,0,0,0,312,0,9.90596213145332,9.90596213145332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.2307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,3.8963019847869873,39,39,16772,16772,1292,64,430.05128205128204,470.37655121642047,1292,64,430.05128205128204,470.37655121642047,8609.188951721839,20.01898217965369,0.1025342627575523,0.44799288705776197,2.7734129428863525,0.0,3.8963019847869873,0.1025342627575523,0.44799288705776197,2.7734129428863525,0.0,3.8963019847869873,0.1025342627575523,0.44799288705776197,2.7734129428863525,0.0,0,0,0,0,312,0,10.009491089826845,10.009491089826845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.05128205128204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
