Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,0.0003170967102050781,2,2,132,132,78,54,66.0,12.0,78,54,66.0,12.0,832553.5759398496,12614.448120300753,0.0003170967102050781,0.0,0.0003170967102050781,0.0003170967102050781,0.0003170967102050781,0.0003170967102050781,0.0,0.0003170967102050781,0.0003170967102050781,0.0003170967102050781,0.0003170967102050781,0.0,0.0003170967102050781,0.0003170967102050781,1,1,0,0,160,0,6307.224060150376,6307.224060150376,0,0,0,0,0,1,0,0,1,2,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,1018,1018,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,54,54,54,54,0.0,0.0,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,16386,16386,0,0,0,0,0,0,0.0,0.0,0,0
6,45.171241998672485,2,2,110,110,55,55,55.0,0.0,55,55,55.0,0.0,4.870355347025115,0.08855191540045665,45.171241998672485,0.0,45.171241998672485,45.171241998672485,45.171241998672485,45.171241998672485,0.0,45.171241998672485,45.171241998672485,45.171241998672485,45.171241998672485,0.0,45.171241998672485,45.171241998672485,0,0,0,0,160,0,0.044275957700228324,0.044275957700228324,0,0,0,0,0,0,0,0,0,2,0,0,0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1020,0,0,0,0,0,0,0.0,0.0,0,0
6,45.155869007110596,2,2,132,132,66,66,66.0,0.0,66,66,66.0,0.0,5.846416109463611,0.08858206226460018,45.155869007110596,0.0,45.155869007110596,45.155869007110596,45.155869007110596,45.155869007110596,0.0,45.155869007110596,45.155869007110596,45.155869007110596,45.155869007110596,0.0,45.155869007110596,45.155869007110596,0,0,0,0,256,0,0.04429103113230009,0.04429103113230009,0,0,0,0,0,0,0,0,0,2,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,2092,2092,0,0,0,0,0,0,0.0,0.0,0,0
17,56.497907876968384,67,67,7169,7169,1120,64,107.0,177.2398661397986,1120,64,107.0,177.2398661397986,253.77930862896514,2.3717692395230388,0.8560289072267937,1.6953658631792377,6.433240175247192,0.0,56.497907876968384,0.8560289072267937,1.6953658631792377,6.433240175247192,0.0,56.497907876968384,0.8560289072267937,1.6953658631792377,6.433240175247192,0.0,0,0,0,0,536,0,1.1858846197615194,1.1858846197615194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,56.4834771156311,64,64,6529,6529,811,71,102.015625,112.04177404369932,811,71,102.015625,112.04177404369932,231.18265140207453,2.2661494393831783,0.8965631288195414,1.7268289043375662,6.4249749183654785,0.0006089210510253906,56.4834771156311,0.8965631288195414,1.7268289043375662,6.4249749183654785,0.0006089210510253906,56.4834771156311,0.8965631288195414,1.7268289043375662,6.4249749183654785,0.0006089210510253906,0,0,0,0,512,0,1.1330747196915891,1.1330747196915891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,0.018594980239868164,4,4,660,660,253,77,165.0,88.0,253,77,165.0,88.0,70986.89984998654,430.2236354544639,0.006198326746622722,0.008065591705153911,0.017602205276489258,0.00028586387634277344,0.018594980239868164,0.006198326746622722,0.008065591705153911,0.017602205276489258,0.00028586387634277344,0.018594980239868164,0.006198326746622722,0.008065591705153911,0.017602205276489258,0.00028586387634277344,0,0,0,0,32,0,215.11181772723194,215.11181772723194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,0.017353057861328125,5,5,1406,1406,631,64,281.2,266.0581891241087,631,64,281.2,266.0581891241087,162046.36799296548,576.2673114970323,0.004338264465332031,0.007278177156054411,0.016941070556640625,0.0,0.017353057861328125,0.004338264465332031,0.007278177156054411,0.016941070556640625,0.0,0.017353057861328125,0.004338264465332031,0.007278177156054411,0.016941070556640625,0.0,0,0,0,0,40,0,288.13365574851616,288.13365574851616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,15.508391857147217,23,23,10060,10060,1292,71,437.39130434782606,520.2675514980508,1292,71,437.39130434782606,520.2675514980508,1297.3621111287223,2.966136039359902,0.7049269025976007,2.987595932907792,14.391993999481201,0.00010585784912109375,15.508391857147217,0.7049269025976007,2.987595932907792,14.391993999481201,0.00010585784912109375,15.508391857147217,0.7049269025976007,2.987595932907792,14.391993999481201,0.00010585784912109375,0,0,0,0,184,0,1.483068019679951,1.483068019679951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.39130434782606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,15.502782821655273,26,26,10710,10710,1292,63,411.9230769230769,514.3214292097683,1292,63,411.9230769230769,514.3214292097683,1381.6874200210805,3.354236500518029,0.6201113128662109,2.811306280665171,14.387327909469604,0.0,15.502782821655273,0.6201113128662109,2.811306280665171,14.387327909469604,0.0,15.502782821655273,0.6201113128662109,2.811306280665171,14.387327909469604,0.0,0,0,0,0,208,0,1.6771182502590145,1.6771182502590145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.9230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
